好食懶飛	好吃懶做
眈天望地,擔天望地	東張西望
牛腸	牛肉卷粉
茶錢	酒飯錢
老細,老世	老闆
飯鏟頭	眼睛蛇
雨溦	毛毛雨
泵把	保險桿
躝	爬
無端端	無緣無故
篤波	桌球
睇衰	蔑視
枱枱櫈櫈,檯檯櫈櫈,枱枱凳凳,檯檯凳凳	桌椅板凳
fax	傳真
斬纜	分手
拍紙簿,拍子簿	便箋
開善堂	開辦慈善機構
花心蘿蔔	花花公子
四正	端正
既然之	既然
蛋治	煎雞蛋三明治
揦	拿
整定	註定
藤條炆豬肉,藤條燘豬肉	抽打
後生細仔	小青年
入面,入邊,入便	裡面
供樓	支付房貸
銀包	錢包
戇居居	儍乎乎
打和	平手
隔籬飯香	外國的月亮比較圓
飲嘢	喝酒
扭計師爺	狗頭軍師
撻訂,撻定	犧牲預付的訂金
影樓	照相館
合掌瓜	佛手瓜
慳	省
死死氣	垂頭喪氣地
燈膽	電燈泡
第日	改天
嚟得切	來得及
極之	非常
嗰陣	那時候
埲	堵
食生菜	容易
肥佬	落榜
𢯎痕,R痕	搔癢
口響	唱高調
韞	關
嘢	東西
揸奶	擠牛奶
則樓	建築事務所
得把口	瞎吹
打冷	夜宵
吹雞	吹哨子
陰聲細氣	小聲小氣
輸賭	打賭
嫲嫲	祖母
拗手瓜	扳胳膊
省鏡	漂亮
等陣	等一下
碌咭,碌卡	刷卡
亦即係	也就是
孖指	六指
噚日,尋日,琴日,禽日	昨天
搬屋	搬家
冚唪唥	全
士啤	備用
羅宋湯	羅宋湯
補𤶸	打補釘
嗱	喏
真係	真的
老脾	脾氣
細蚊仔	小孩
冚	嚴密
好人好者,好人好姐	好人一個
淮山	山藥
冇計	不用計較
餸	菜
木獨	愣
靈擎,靈keng	靈驗
嚡	粗糙
一時一樣	反覆無常
partner,拍乸	搭檔
好話唔好聽	老實話
工業邨	工業園
精乖	精靈
雞公	公雞
燶	焦
嘔血	吐血
豉油雞	醬雞
士多房	堆房
生啤	生啤酒
盲毛	傻子
冚	嚴密
污糟	髒
稔,淰	熟
團年	吃年夜飯
乾噌噌,乾爭爭	乾巴巴
快啲	快一點
吓	一下
揸拿	把握
脆卜卜	脆脆的
竹升	竹槓
喊苦喊忽	叫苦連天
好衰唔衰	更糟糕的是…
造馬	內定
外母	岳母
撞板多過食飯	成功少碰壁多
食得鹹魚抵得渴,食得咸魚抵得渴	敢做敢當
巴黎帽	貝雷帽
執生	應變
似層層	好像真有其事
擗	扔
沙紙	畢業證書
賣剩蔗	剩貨
白灼	水煮
埋手	下手
搞手,攪手	主辦人
沐浴露	沐浴乳
等到頸都長	等得很久了
計數機	計算器
乞人憎	討人厭
奇難雜症	疑難雜症
漢堡扒	漢堡排
陰力	柔勁
相睇	相親
講波	球賽評述
長命斜	陡坡
交更	交班
吹波膠	泡泡糖
孖展	商人
唔好	不要
拉埋天窗	結婚
黑超	墨鏡
社公	社神
行花街	逛花市
嘥心機捱眼瞓	白費勁
甩皮甩骨	缺頭少尾的
罨	漚
炒黃牛	倒賣
哨牙	齙牙
禮拜五	星期五
有feel	有感覺
耳珠	耳垂
罷就	算了
瀨	倒
睇症	治
水樽	水瓶
劈炮,擗炮	辭職
梳打	蘇打
人衰行路打倒褪	人倒霉
竹升	竹槓
賴尿	尿床
混吉,運吉	瞎鬧
啱使	適用
襪褲	褲襪
朝早	早上
火腩	燒豬
第二	別的
污煙障氣	亂糟糟
牛脷酥	馬耳
打牙骹,打牙鉸	閒聊
大肚婆	孕婦
牛油果	鱷梨
咇	噴
好頭好尾	有始有終
quali	資歷
咩嘢	什麼
即係,唧係,啫係	就是
慳電膽	節能燈泡
倒後鏡	後視鏡
揼骨,𢱕骨	按摩
炒蝦拆蟹	說粗話
屋企人	家人
炒粉	炒米粉
冥鏹	紙錢
大支嘢,大資爺	驕傲
政棍	政客
大步𨂾過,大步𨈇過,大步檻過,大步揇過	一步跨過去
垃圾蟲	亂丟垃圾的人
因住嚟	當心
發狼戾,發啷厲	撒野
啲人	人們
過龍,過籠	超過
晏晝飯	午飯
call機	傳呼機
吊味	調味
燉冬菇,燉冬菰	解僱
急症室	急診室
唔係	不然
嗰啲嘢	那些東西
整親	弄傷
亂噏,亂up	胡說
chem	化學
豬髧兜,豬dum兜,豬兜	蠢鈍
話唔定,話唔埋	說不定
孖煙囪,孖煙通	四角褲
自動波	自排車
坡紙	新元
飆冷汗,標冷汗	出冷汗
食肆	餐館
快脆,快趣	快
眉精眼企	狡猾
焫手	燙手
扎扎跳,紮紮跳	活潑
遮骨	傘枝
趁墟	趕集
唔鹹唔淡	有口音
踩單車,踹單車	騎自行車
奄列	煎雞蛋
雨粉	毛毛雨
瀨粉	圓條狀粗粉條
廁所板,廁板	馬桶蓋
爆煲	露餡兒
捱夜	熬夜
打交	打架
穿梭機	航天飛機
廢話少講	廢話少說
帶挈,帶協	提攜
擠逼	擁擠
燒嘢食	烤燒
扑,㩧	敲
唔同	不同
加餸	加菜
飲筒	吸管
乜誰,乜水	誰
外埠	海外城市
瓜老襯	死了
睇脈	看病
安樂茶飯	生活安穩
湯丸	湯圓
趕得切	來得及
樓盤	房子
詐傻扮懵	裝瘋賣傻
執笠	倒閉
焗	迫
筍盤	質優價廉的房子
甩底	失約
扌,剔手邊	提手旁兒
卸膊	推卸責任
樖	棵
大食	能吃
威水	神氣
擇使,擇洗	麻煩
正式	真正
水蛇春咁長	很長
口啞啞	啞口無言
焗飯	燜飯
暖水壺	熱水瓶
氹,凼	坑
晾衫架	晾衣架
皆因	全因為
細妹	妹妹
白鮓,白蚱,白咋	水母
雞紅	雞血
唔要	不要
唔同	不同
煙肉	燻肉
包伙食	伙食外包
econ	經濟學
牛唔飲水唔撳得牛頭低,牛唔飲水唔㩒得牛頭低	不能強求
爭啲,差啲	差點
矮細	矮小
得個講字	光說不幹
攪屎棍	刺兒頭
威化餅	維夫餅乾
放狗	遛狗
搭車	乘車
嗷,𢳆	搖
趯	驅趕
盡人事	盡能力辦事
𤓓	煳味
揦西,揦篩,乸西	馬虎
冇	沒有
叉燒酥	烤肉酥
錢七	舊車
包租公	二房東
卒之	終於
壽仔	傻瓜
𨋢門	電梯門
頂硬上	硬撐
嘞	了
䁪眼	眨眼
因住	當心
嘈	爭吵
繑	纏
盲中中,盲舂舂,盲樁樁	亂碰亂闖
乾手淨腳	乾淨利落
話口未完	話音未落
匙羹	湯匙
數臭	臭罵
珍珠都冇咁真	千真萬確
𠼭,砵,呠	嘟
一丁友	一個人
喎	喔
古月粉	胡椒粉
揸弗,揸fit	管事
檸七	檸檬七喜
橫睇掂睇	橫看豎看
賒數	賒賬
白油	修正液
走甩	逃脫
好瞓	睡得香
水蛋	蛋羹
con	隱形眼鏡
幾耐	多久
速遞	快遞
𨋢	電梯
啄啄糖,叮叮糖	叮叮糖
打蛇餅	大排長龍
等陣	等一下
條條fing,條條揈,吊吊fing,吊吊揈,掉掉fing,掉掉揈	悠蕩
腸粉	蒸米粉卷兒
蘇州過後冇艇搭	過了這村沒那店
渻,㨘	罵
自爆	自己洩露
西斜	西曬
交帶	吩咐
白粥	稀飯
柯打	命令
肉緊	緊張
賣告白	登廣告
好傾	很談得來
冇好氣	沒耐心
萬大事有我	天塌下來有我頂著
外嫁女	已出嫁的女兒
日頭唔好講人，夜晚唔好講鬼	說曹操，曹操就到
口水肩	圍嘴
伯娘	伯母
多數	大部分
囖	籮筐
乜乜物物	這個那個
噉,咁	那麼
火屎	火星
瀨	倒
呻笨	自責
計我話	依我看
化骨龍	孩子
噚晚,尋晚,琴晚	昨晚
靜英英,靜蠅蠅	靜悄悄
水抱	救生圈
爆冷	出了意料不到的事情
搭夠	湊夠
吖	啊
窿窿罅罅	犄角旮旯
拗撬,詏撬	衝突
鬥木佬	木匠
啲,D	一些
腍	軟
詏	爭辯
哋	們
細佬	弟弟
咇	噴
二世祖	阿斗
火燭車	消防車
咪	就…
快勞,file	文檔
骨痺,骨痹	肉麻
到其時	到時候
辶,撐艇仔,艇仔邊,⻍	划船
單單打打	冷言冷語
靚仔	美男子
私隱	隱私
落貨	卸貨
懵到上心口	糊塗之極
sense	感覺
大劑	麻煩大
駁咀,駁嘴	頂嘴
當住	當著
劈友	砍人
故仔,古仔	故事
郁手,喐手	動手
放蛇	設陷阱
偷呃拐騙	偷盜拐騙
炆	燉
飛女	女流氓
雨溦溦	毛毛細雨
篤灰,篤魁	告密
學生哥	男學生
一輪嘴,一輪咀	一口氣
涼瓜	苦瓜
𠝹,鎅	鋸
搦,攊	提
食穀種	吃老本
冇幾何,冇幾可	不常
直筆甩,掂筆甩	筆直
勻循,勻巡	均勻
豬腸粉	熟米粉卷兒
短切切	很短
睇,睼	看
後底乸,後抵乸,後仔乸	繼母
屈蛇	偷渡
大飲大食	大吃大喝
擳	撓
燕梳	保險
兼夾	而且
手停口停	一不幹活就沒飯吃了
呃like	騙讚
炒粉	炒米粉
牙煙	險
揦	拿
打大赤肋	光膀子
冇得頂	好極了
乾濕褸	風雨衣
幾多	多少
闊佬	闊氣
泵	打
肥妹	胖姑娘
餲堪堪	臊臊的
青頭仔	童男
搭正,疊正,踏正,沓正	整
膝頭	膝蓋
好仔	好孩子
記認	標記
𢲡,揦	拿
走法律罅	鑽法律空子
抵唔住頸,抵頸唔住	忍不住
鼻哥	鼻子
哽心	心裡揪著
啱用	合用
出術	騙人
開聲	作聲
衫袖	袖子
神神化化	古古怪怪的
杯	杯子
揗	發抖
與及	以及
係噉,係咁	就這樣
北便	北邊
睄	掃一眼
閣仔	閣樓
fit到漏油,弗到漏油	非常的標緻
儆惜,儆錫,擏惜,擏錫	小心愛惜
揸正嚟做	秉公處理
哥爾夫球	高爾夫球
大炮友	火炮
拗柴	腳崴了
冇錯	沒錯
萬字夾	回形針
十問九唔應,十問九唔答	不喜答話
吓	一下
揀飲擇食	挑吃
脹卜卜	脹鼓鼓
賣豬仔	賣身去做苦工
一口價	實價
博炒,搏炒	不想工作
鬼妹	外國女孩
風水佬呃你十年八年	我不會騙你的
冧把,冧巴	號碼
抰	抖
叻	聰明
細細粒	粒兒小
探熱	量體溫
鴨仔團	旅行團
蹺妙	巧妙
畫公仔唔使畫出腸,畫公仔唔駛畫出腸	不必說出來
諗法	想法
茶煲	麻煩
十劃都未有一撇,十畫都未有一撇	八字還沒一撇
頂唔順	受不了
黐牙	黏牙
離遠	離得遠
啤	雙
電燈膽	電燈泡
走難	逃難
省起,醒起	想起
耍家,灑家	擅長
有排	有好一陣子
面皮厚	臉皮厚
眼定定	眼光直直地看著
斷正	被揭發
做冬	過冬至節
鬼馬	狡猾
經已	已經
煎pan	平底鍋
埋去	走過去
眉頭眼額	眉眼高低
軚盤,舦盤	方向盤
好多時	經常
山卡啦,山旮旯,山旯旮,山卡罅	山谷
爭啲	差點
棍波	手動擋
飛機師	機長
吊頸	上吊
人有三急	要上廁所
乾炒牛河	乾炒牛肉米粉條
得滯	過於
mean	刻薄
衫架	衣架
麻麻哋,麻麻地	湊合
爆燈	極高
賣口乖	耍嘴皮
凍過水	沒命了
實牙實齒	一定
插蘇頭	插頭
踢波	踢球
餓過飢	餓過了頭
爛口	粗話
冷衫	毛衣
濕𣲷𣲷,濕立立	濕漉漉
耐唔耐	偶爾
搭𨋢	搭電梯
只係,祇係	只是
唔使客氣	不用客氣
拍手掌	鼓掌
杏霜	杏仁茶
淥親	燙傷
雞泡魚	河豚
外父	岳父
T裇	體恤
幫眼	幫著看
唔錯	不錯
埋便	裡面
乒鈴嘭唥,乒鈴𠾴唥	乒乒乓乓
霎戇,烚戇	傻瓜
爛銅爛鐵	破銅爛鐵
有落	有下車的
鯇魚	草魚
累人累物	害苦了別人
搏命	拼命
使費	費用
大懵	糊塗
阿爺,亞爺	爺爺
班房	教室
三鳥	雞鴨鵝
闊太	有錢的婦女
BB仔,啤啤仔	小嬰兒
蒲精	玩樂者
呔,𧘹	輪胎
趷,趌,䞘	瘸腿
睇真啲	看清楚點兒
豉汁	豆豉汁
湯殼	湯勺
轉軚,轉呔	轉向
好嘢	很好
爛瞓豬	懶蟲
藥材舖	中藥舖
沙律	沙拉
有料到	有本事
嗰陣時	那時候
白飯魚	銀魚
飛站	過站而不停
事必,是必	一定
唔多唔少	或多或少
唔通氣	不知趣
嗒糖	咂糖果
行人天橋	高架人行道
手袖	套袖
喼,gip,篋	箱子
覺覺豬	睡覺
雞春,雞膥	雞蛋
水皮	水平低
嘍口,漏口	口吃
抵得	能夠忍受
糖水舖	甜食店
風水輪流轉	三十年河東
記招	記者會
乜	什麼
紅衫魚	金線魚
七七八八	七八成
眼甘甘,眼金金	貪婪地盯著
諗住	想
車呔	車胎
劈酒	喝酒
隔籬鄰舍	鄰居
日光日白	光天化日
耳仔	耳朵
街數	債務
除笨有精	塞翁失馬
油炸鬼	油條
疏爽	慷慨
手板眼見功夫,手扳眼見功夫,手板眼見工夫,手扳眼見工夫	易學易做的工作
三文治	三明治
衰人	壞傢伙
發羊吊	癲癇
起嚟	起來
慳家	節儉
睇住	看著
手指公	大拇指
放飛機	放鴿子
按揭	抵押
飯腳	剩飯底子
一時時	有時
阻手阻腳	礙手礙腳
睇戲	看電影
污糟嘢	髒東西
追數	追債
煙屎,煙士,ace	愛司
唔等使	無益
慳	省
嘎妹,㗎妹,架妹	日本少女
𦧺	舔
波士	老闆
吟吟沉沉,吟吟尋尋	嘮嘮叨叨
牙斬斬	貧嘴薄舌
離地	脫離平民百姓
鹹水樓	劣質樓房
貨van	小巴
好彩	幸虧
好人事	心腸好
蘇州屎	殘局
梘粉	洗衣粉
睬	理
入伙	入住
杯耳	杯柄
公數	公司的開支
花冧	花蕾
睇嚟	看來
K歌	卡拉OK歌
波子	玻璃球
郁手郁腳,喐手喐腳	動手動腳
打乞嗤,打乞嚏	打噴嚏
撳釘,㩒釘	圖釘
罨耷,噏耷	簡陋
抵買	值得買
毛管戙	起雞皮疙瘩
儲錢	存錢
pair,啤	雙
泵	打
撻	騙
鬆啲	多一點
話事人	頭兒
銀仔	硬幣
街喉	消防栓
把炮	本事
賣花讚花香	王婆賣瓜
狼戾	撒野
世伯	伯伯
家下,家吓	現在
賓妹	菲律賓少女
唔妥	不妥當
發錢寒	財迷心竅
車衫	縫衣服
裝彈弓	設圈套
氹,𠱁,𧨾	坑
餲	臊臭
該煨	糟糕
抵埗	抵達
男人老狗	大男人的
諗頭	想法
然之後	然後
下扒	下巴
打橫行	橫行霸道
嘅	的
buffet,蒲飛,捕飛,步飛	自助餐
魚生	生魚片
鬼揞眼	沒有眼光
唔嗲唔吊	無所謂
打邊爐	涮鍋子
矮瓜	茄子
老竇,老豆	父親
光棖棖,光𥋇𥋇	刺目
火水	煤油
家姐	大姐
野仔	私生子
咬耳仔	耳語
做咩	幹嘛
嬲	氣
落樓	下樓
現錢	現金
震騰騰,震揗揗	顫抖
薯蓉	土豆泥
極其量	充其量
嗌霎	衝突
啤	雙
上便	上面
唓	呸
放盤	發售
跌打	中醫骨傷科
世侄,世姪	年輕人
試過	曾經
請槍,請鎗	請人槍替
埋尾	收場
煲電話粥	打電話聊大天
善長仁翁	樂善好施的人
冇嚟搭霎,冇厘搭霎,冇釐搭霎	不講理
校巴	校車
敗家仔	敗家子
有啲	有點
小腸氣	疝氣
豬嘴,豬咀	防毒面罩
case,畸士	案子
羅庚,羅經	羅盤
癦	痣
開估,開古	揭曉
打喊路,打喊露	打哈欠
情信	情書
好聲好氣	心平氣和
大隻佬	大個兒
確係	的確是
大耳窿	放高利貸的人
肚痾,肚屙	拉肚子
講波佬	足球解說員
餐牌	菜單
M	月經
左㕭,左優,左撓,左囿	左撇子
梳乎厘	蛋奶酥
大細眼	眼睛一大一小
攪攪震,搞搞震	搗亂
數口	價錢
街市仔	菜市小販
打赤腳	光著腳
契仔	乾兒子
嗰啲	那些
講書	講課
債仔	債戶
舅父	舅舅
咁啱	那麼巧
蛋撻	蛋塔
冚	嚴密
禮拜一	星期一
怕醜	害羞
着緊,著緊	著急
口水多過茶,口水多過嗲	囉嗦
細路	小孩
用嚟	用來
到埗,到埠	抵達
白菜仔	小白菜
驚到飆尿,驚到標尿	嚇得屁滾尿流
差館	警察局
BB車,啤啤車	嬰兒車
懶叻,讕叻	臭美
打救	搭救
契哥	乾哥哥
打交叉	打叉
抆屎,抿屎	擦屁股
呢個,依個	這個
高踭鞋	高跟鞋
狗仔粉	擔仔麵
定過抬油	鎮定自若
打思噎	打嗝兒
食咗火藥	惱火
冇雷公咁遠	遠處
鬼火咁靚	妖艷
撳,㩒	按
軟皮蛇	癩皮狗
着草,著草	走人
新抱,心抱	新娘
初頭	起初
揸	開
刀仔	小刀
飛髮	剪頭髮
門鉸,門骹	門合頁
孖仔	孿生子
攝牙罅	塞牙縫
嘈嘈閉	吵吵鬧鬧
撩牙	剔牙
喺,响	在
大大話話	少說
叉燒包	肉包
cert	證書
𠼭,砵,呠	嘟
book	預訂
行公司	逛商店
冇手尾	虎頭蛇尾
草被,草披	草地
劏房	分間樓宇單位
撳,㩒,揞	按
甫士	姿勢
暗啞抵,暗啞底	吃啞巴虧
吵大鑊,炒大鑊	吵架
雞噉腳,雞咁腳	走得快
踭,㬹	肘
奀皮,韌皮	頑皮
沙翁	沙翁
保鮮紙	玻璃紙
結恭	便秘
檸樂	檸檬可樂
至得	才行
啤	雙
攪錯	弄錯
百厭星	小傢伙
亞士匹靈,亞斯匹靈,阿士匹靈	阿司匹林
唔好	不要
齋啡	清咖啡
大出血	大降價
三口六面	各方面
跟手	順手
黃蜞,蟥蜞	螞蟥
合桃酥	桃酥
西多士,西多	法國土司
蝦子餅	老公
過橋	利用
覺眼	顯眼
下巴輕輕,下扒輕輕	隨便許諾
講耶穌	說教
牙尖嘴利	尖嘴薄舌
行街	逛街
串字	拼字
得人驚	嚇人
冇料到	沒有真本事
掠水	騙錢
包頂頸	專門跟別人抬槓
閒閒哋,閒閒地	隨便
一擔擔	一樣的
激嬲	激怒
豆膶,豆潤	豆乾
反口覆舌	不認前賬
拉牛上樹	趕鴨子上架
落去	下去
信用咭	信用卡
腳瓜	腿肚子
囡	疙瘩
食霸王餐,食霸王飯	吃飯不付錢
銻煲	鋁鍋
一字咁淺	淺顯易懂
生日咭	生日卡
瞓醒	睡醒
窒	害怕
烚,煠,熠,𤆣	煮
思縮,私縮	拘束
哩啡,咧啡,le fe,褦襶	凌亂
前一排	前陣子
撩鼻屎	挖鼻孔
疊埋心水,叠埋心水	專心一意
老友記	老朋友
梗係	當然
食拖鞋飯	吃軟飯
碌柚	柚子
落狗屎	下大雨
戥	替
死火	糟糕
波羅雞,菠蘿雞	白吃白喝
嗱	喏
軚,舦	方向盤
仔	男孩
人仔	小孩
搭嘴,搭咀	插嘴
扑濕,㩧濕	揍扁
尤其係	尤其是
下世	下輩子
諗	想
抄牌	檢控
發噏瘋,發up瘋,發噏風,發up風	胡扯
涌	小河
咗,唨	了
點解	為什麼
爬格仔	寫稿
抖氣,唞氣	歇氣
扭計骰	魔方
鬼食泥	不清不楚
使橫手	請打手
講數	談判
挨𩩍,挨屏,挨拼	椅子的靠背
知慳識儉	精打細算
手踭,手㬹	手肘
書檯,書枱	書桌
嘎仔,㗎仔,架仔	日本少男
事關	因為
半鹹淡,半鹹半淡	南腔北調
搭路	通融
work	有效
九曲十三彎	彎彎曲曲
落去	下去
好嘢	很好
捱騾仔,捱驢仔	當牛做馬
洗白白	洗操
話齋	正如…所說
麻石	花崗岩
激奀	氣壞
膽生毛	膽大包天
後生仔	小伙子
執到都喊三聲	便宜沒好貨
紙鷂	風箏
冇乜	沒什麼
舖頭	商店
係呀,係啊	是啊
懵閉閉	懵懂
嗰頭	那邊
喊包	淚包
食塞米	白吃飯
揈,fing	甩
女仔	女孩
八妹	愛管閒事的女孩
心大心細	猶豫
老姑婆	老姑娘
孻	末尾
拮,㓤	扎
初哥	生手
班馬	搬救兵
漆油	油漆
飛邊	去邊
大狀	大律師
今時今日	現在
招呼唔到	招待不周
食水深	賺錢多
打茄輪,打車輪	接吻
俾心機,畀心機	用心
揼波鐘,𨂽波鐘,耽波鐘	耽誤
地踎	地痞
扯旗	昇旗
腳瓜瓤	腿肚子
巴	巴掌
底橫	內褲
開篷車,開蓬車	敞篷車
回南天,大回南	回暖天氣
探熱針	體溫計
濕濕碎	零碎
孻仔	老兒子
屋企	家
黑加侖子	黑醋栗
閘住	住口
團年飯	年夜飯
木口木面	呆呆的
插蘇	插座
試身	試穿
走青	不加蔥
伏	趴
中學雞	中學生
啡走	咖啡加奶不加糖
九大簋	盛宴
衤,禮衣邊	衣字旁兒
唔舒服	不舒服
頻撲	奔波
解款	運鈔
吓	一下
提堂	提審
九因歌	九九表
男仔	男孩
戥穿石	伴郎
逼力	煞車
膠通	塑料管
夾計	串通
瞓	睡
對唔住	對不起
酸微微	酸溜溜
繑口,蹺口	拗口
有咩冬瓜豆腐,有乜冬瓜豆腐	有什麼三長兩短
唔掂	不行
禮拜六	星期六
但係	但是
標青	超群
惡頂	難相處
零舍,寧舍	特別
得切	來得及
痺,痹	麻
三項鐵人	鐵人三項
絲襪奶茶	港式奶茶
揈	甩
搞亂檔,攪亂檔	裹亂
冇耳性	健忘
死人頭	死鬼
揼,𢱕,溚	磨蹭
騎膊馬	騎在肩膀上
𡃁妹,僆妹,𨈓妹	小女孩
有咗	懷孕了
馬拉盞	蝦醬
紅汞水	紅藥水
由得	任由
死牛一面頸,死牛一邊頸,死牛一便頸	板板六十四
搖搖板	蹺蹺板
執二攤	買舊貨
龍躉	石斑魚
夜更	夜班
小數怕長計	小數加起來就成大數目
淰	熟
眼花花	眼睛昏花
沙田柚	柚子
白手興家	白手起家
幫拖	幫忙
單身寡佬	單身漢
咁滯,咁濟	快要
批蕩,批盪	抹灰
揦手	難辦
劏白鶴	嘔吐
掟煲	吹了
宀,冧寶頭,冧篷頭,寶蓋頭	寶蓋頭
碟頭飯	蓋飯
壽星公吊頸	嫌命長
闊佬懶理	甩手不管
隊酒	喝酒
捱世界	熬日子
當黑	倒霉
二五仔	叛徒
扭耳仔	擰耳朵
電器舖	電器店
浸鹹水	留學
冇王管	沒人管
滑浪風帆	風浪板
墟冚	噪鬧
多籮籮,多羅羅	多多的
大嘥	浪費
把鬼	有什麼用
起弶,起槓	攻擊
柏金遜症	帕金森病
大花筒	亂花錢的人
懵盛盛	懵然不知
睇淡	看淡
出煙	冒煙
肥田料	化肥
晒士,size	尺寸
啤梨	漿果
頂檔,頂當	頂替
啝,喎	喔
嘈醒	吵醒
出街	上街
孻女	老閨女
K房	卡拉OK包廂
禾稈草	稻草
擘大個口得個窿	張口結舌
好嘢	很好
諗起	想起
光猛	光亮
手指拗出唔拗入	胳膊肘朝外拐
勤力	用功
扯鼻鼾	打鼾
俾着,畀着,俾著,畀著	換了
大人大姐,大人大者	大人
𣲷	濕
壽星公	壽星
禮拜四	星期四
打埋	連
六角匙	內六角扳手
揼,耽	磨蹭
撳機,㩒機	提款
孖辮	辮子
上堂	上課
黐脷根	說話有點兒大舌頭
朝頭早	早上
地拖	拖把
呢排,依排	最近
僭建	違章建築
扮靚	打扮
嘅	的
叔婆	叔祖母
間中,間唔中	偶爾
notes,碌士	筆記
相當之	相當
烏蠅	蒼蠅
聽朝	明早
噏,up	胡說
烏喱單刀,烏哩單刀,污唎單叨	亂
嬲	氣
駁腳	經紀
後尾枕	後腦勺
話時話	對了
口黑面黑,黑口黑面	臉色難看
面珠	臉蛋
笑笑口	微笑
漚	熬
水浸	水災
睇水	把風
嘥氣	白費勁
挨晚	傍晚
人夾人緣	物以類聚
口窒窒	結結巴巴
糭,粽,糉	粽子
有份	有自己一份
眼大睇過龍,眼大睇過籠	看漏
留醫	住院
火機	打火機
囉囉攣,囉攣	鬧
核突,鶻突,核凸	難看
歎世界,嘆世界	享福
骨場	按摩院
好睇	好看
沊,丼,揼	磨蹭
枱	桌子
行人路	人行道
輪更	輪班
charm	魅力
糊仔	糊糊
BB機	呼叫機
遊埠	遊歷
戙	豎
咋	…而已呀
唔爭在,唔掙在	不差
貼士	提示
M,jam	月經
遲啲	晚一點
大蛇屙尿,大蛇痾尿	大場面
激死人	氣死人
落畫	結束放映
全盒,攢盒	攢盒
唔撈	不幹了
閒計,閒偈	閒話
蛇𠺌,蛇gwe,蛇呱	膽小
有頭有面	有面子
文化衫	汗衫
粟米	玉米
跳紮,跳扎,跳跳紮,跳跳扎	活潑
貴利	高利貸
鬥木	做木器
冇錯	沒錯
啱	湊巧
事關	因為
炸両,炸兩	炸腸
頸鏈	項鏈
企領	竪領
鏹水	硫酸
手信	禮物
好波	好球
甩骹,甩鉸	脫臼
放飛劍	吐痰
千祈	千萬
𤶸	疤
厾,督	戳
哎吔	哎呀
腳眼	腳踝
熱疿,熱痱	痱子
尖筆甩	尖尖的
同埋	而且
逼人	擁擠
賺衰	自找倒霉
唔切	來不及
入息	收入
士的	手杖
唱錢,暢錢	找零錢給別人
田螺車	混凝土攪拌車
抽水	揩油
嘈	爭吵
貓紙	提示卡
睇住嚟	等著瞧
暈浪	暈船
賤格	下賤
唔使	不用
橫街窄巷	小街小巷
瞓戾頸,瞓厲頸	落枕
黑擝擝,黑鼆鼆,黑掹掹	黑漆漆
照肺	給上司責罵
實淨	結實
姨媽巾	衛生巾
流流長	時間長
貨𨋢	貨運電梯
七國咁亂	亂七八糟
知醜	知恥
面青	臉色發青
食飽	吃飽
蟻民	小老百姓
咪	就…
點樣	怎樣
豆角	豇豆
爆呔	破輪胎
半肥瘦	半肥不瘦
姣婆藍	翠藍
一於	堅決
停手	住手
新年流流	大過年的
噉,咁	那麼
損手爛腳	生意不順利
菠蘿包	波羅包
啋過你把口,啋過你	呸！
被竇	被窩
佗鐵,跎鐵,陀鐵	持槍
水煲	水壺
面珠墩	臉蛋
威	威風
請飲	請客
唞暑,抖暑	歇伏
晾衫	晾衣服
打側身	側著身子睡
掛住	想念
花假	虛假的
無端白事	無緣無故
畀	被
波枱,波檯	球台
就腳	方便
和頭酒,和事酒	謝罪酒
發癲	發瘋
似足	很像
落堂	下課
high,hi	興奮
有理冇理	不管怎麼樣
聽唔入耳	聽不進去
爛喊	愛哭
冇事	沒事
一排	一陣子
